310,570,0,290,560.5,0
290,560.5,0,270,564.5,0
270,564.5,0,250,559,0
250,559,0,227,550,0
227,550,0,205,538,0
205,538,0,182,522,0
182,522,0,159,500,0
159,500,0,143,480,0
143,480,0,131,461,0
131,461,0,120,437,0
120,437,0,112,412,0
112,412,0,108,387,0
108,387,0,107,370,0
107,370,0,108,350,0
108,350,0,110,333,0
110,333,0,115,313,0
115,313,0,124,289,0
124,289,0,130,277,0
130,277,0,140,260,0
140,260,0,152,244,0
152,244,0,165,230,0
165,230,0,175,220,0
175,220,0,189,209,0
189,209,0,193,206,0
193,206,0,270,215,0
270,215,0,270,277.5,0
270,277.5,0,250,278,0
250,278,0,236,279,0
236,279,0,220,281,0
220,281,0,210,283,0
210,283,0,204,285,0
204,285,0,200,287,0
200,287,0,197,290,0
197,290,0,197,292,0
197,292,0,198,295,0
198,295,0,202,300,0
202,300,0,210,305,0
210,305,0,220,310,0
220,310,0,249,320,0
249,320,0,270,326,0
270,326,0,270,390,0
270,390,0,226,374,0
226,374,0,205,364,0
205,364,0,191,356,0
191,356,0,176,346,0
176,346,0,162,333,0
162,333,0,155,322,0
155,322,0,153,316,0
153,316,0,153,312,0
153,312,0,155,306,0
155,306,0,160,299,0
160,299,0,169,299,0
169,299,0,183,287,0
183,287,0,167,290,0
167,290,0,150,298,0
150,298,0,143,305,0
143,305,0,141,309,0
141,309,0,140,315,0
140,315,0,140,320,0
140,320,0,143,330,0
143,330,0,150,340,0
150,340,0,166,356,0
166,356,0,190,372,0
190,372,0,220,387,0
220,387,0,260,403,0
260,403,0,270,407,0
270,407,0,270,498,0
270,498,0,273,504,0
273,504,0,279,510,0
279,510,0,287,516.5,0
287,516.5,0,287,412.5,0
287,412.5,0,293,414,0
293,414,0,293,520,0
293,520,0,304,525,0
304,525,0,321,531,0
321,531,0,321,422,0
321,422,0,327,424,0
327,424,0,327,533,0
327,533,0,340,535,0
340,535,0,350,536,0
350,536,0,360,536,0
360,536,0,364.5,533,0
364.5,533,0,364.5,433,0
364.5,433,0,410,443,0
410,443,0,447,449,0
447,449,0,468,433,0
468,433,0,364.5,415,0
364.5,415,0,364.5,343,0
364.5,343,0,535.5,358.5,0
535.5,358.5,0,535,387,0
535,387,0,531,411,0
531,411,0,522,440,0
522,440,0,513,459,0
513,459,0,500,480,0
500,480,0,484,500,0
484,500,0,463,520,0
463,520,0,450,530,0
450,530,0,420,548,0
420,548,0,390,560,0
390,560,0,360,567,0
360,567,0,338,570,0
338,570,0,310,570,0
287,395,0,293,397,0
293,397,0,293,332,0
293,332,0,287,330,0
287,330,0,287,395,0
321,404,0,327,406,0
327,406,0,327,338,0
327,338,0,321,337,0
321,337,0,321,404,0
321,324,0,327,325,0
327,325,0,327,223,0
327,223,0,321,222,0
321,222,0,321,324,0
287,318,0,293,319,0
293,319,0,293,218,0
293,218,0,287,217,0
287,217,0,287,318,0
270,314,0,239,305,0
239,305,0,228,300,0
228,300,0,220,295,0
220,295,0,218,291,0
218,291,0,220,288,0
220,288,0,229,284,0
229,284,0,253,280,0
253,280,0,270,279,0
270,279,0,270,314,0
270,199,0,216,192,0
216,192,0,230,185,0
230,185,0,250,177,0
250,177,0,270,171.5,0
270,171.5,0,270,199,0
287,201,0,293,202,0
293,202,0,293,167.5,0
293,167.5,0,287,168.5,0
287,168.5,0,287,201,0
321,206,0,327,207,0
327,207,0,327,166,0
327,166,0,321,166,0
321,166,0,321,207,0
364.5,330.5,0,534,343.5,0
534,343.5,0,531,324,0
531,324,0,527,310,0
527,310,0,520,292,0
520,292,0,513,277,0
513,277,0,502,259,0
502,259,0,489,242,0
489,242,0,470,222,0
470,222,0,450,206,0
450,206,0,429,193,0
429,193,0,408,183,0
408,183,0,379,173,0
379,173,0,364.5,170,0
364.5,170,0,364.5,214,0
364.5,214,0,389,219,0
389,219,0,419,226,0
419,226,0,441,232,0
441,232,0,460,239,0
460,239,0,470,244,0
470,244,0,476,248,0
476,248,0,480,253,0
480,253,0,481,257.5,0
481,257.5,0,479.5,260,0
479.5,260,0,468,265,0
468,265,0,449,268,0
449,268,0,420,270,0
420,270,0,392,270,0
392,270,0,415,268,0
415,268,0,440,265,0
440,265,0,451,262,0
451,262,0,454.5,260,0
454.5,260,0,456,257,0
456,257,0,453,253,0
453,253,0,439,246,0
439,246,0,419,240,0
419,240,0,400,236,0
400,236,0,364.5,229.5,0
364.5,229.5,0,364.5,330.5,0
